Status, Fx, Fy, Fz, Tx, Ty, Tz, Time
 0x00000000, -12166814, -5134116, -27442228, 78030, 186050, -264366,23981.1679688
 0x00000000, -12166116, -5124347, -27431220, 78182, 186040, -264068,24057.2380371
 0x00000000, -12169045, -5122196, -27424408, 78357, 186093, -264289,24133.0151367
 0x00000000, -12165572, -5125253, -27431804, 77982, 185879, -264339,24209.171875
 0x00000000, -12169870, -5129933, -27431708, 78161, 186370, -264296,24288.2590332
 0x00000000, -12170430, -5126913, -27426286, 78188, 186124, -264406,24364.1899414
 0x00000000, -12163060, -5134934, -27436068, 78191, 186139, -264273,24440.2487793
 0x00000000, -12178967, -5122211, -27429708, 78143, 186262, -264353,24516.8078613
 0x00000000, -12166854, -5126182, -27438444, 77903, 185952, -264489,24593.2358398
 0x00000000, -12172417, -5124448, -27431210, 78157, 186157, -264469,24669.5539551
 0x00000000, -12170127, -5125015, -27437290, 78100, 185995, -264402,24745.638916
 0x00000000, -12165145, -5131957, -27420510, 78036, 186096, -264114,24821.527832
 0x00000000, -12166675, -5122957, -27458602, 78076, 185948, -264606,24897.5888672
 0x00000000, -12177865, -5116693, -27436480, 78192, 186110, -264259,24973.6269531
 0x00000000, -12162470, -5113241, -27426176, 78199, 185889, -264517,25049.7299805
 0x00000000, -12167340, -5141069, -27472112, 78120, 185878, -264699,25125.6000977
 0x00000000, -12161984, -5133904, -27437068, 77875, 186129, -264422,25211.1948242
 0x00000000, -12169485, -5117820, -27440200, 78048, 186022, -264363,25288.0351562
 0x00000000, -12168567, -5117015, -27433502, 78184, 186009, -264122,25366.1538086
 0x00000000, -12162929, -5127579, -27428572, 77988, 186093, -264162,25443.5830078
 0x00000000, -12165746, -5130104, -27435036, 77902, 185661, -264460,25519.3320312
 0x00000000, -12169939, -5130156, -27455148, 78285, 185997, -264259,25594.9619141
 0x00000000, -12165890, -5118742, -27446730, 78012, 185892, -264427,25671.0290527
 0x00000000, -12168962, -5131072, -27444082, 78056, 186069, -264514,25746.6101074
 0x00000000, -12169229, -5128747, -27450704, 77999, 186161, -264277,25822.3740234
 0x00000000, -12178563, -5121709, -27444036, 78152, 186119, -264241,25898.3161621
 0x00000000, -12171600, -5126057, -27445178, 77665, 186010, -264296,25974.3078613
26051.3317871
